devicename,date,CO2,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,Soil EC Category,Soil Moisture Category,Soil pH Category,N Category,P Category,K Category,NPK Ratio,NPK Status,Optimal Plant,NPK - Plant Readiness,C_N_Ratio,C_N_Status,feeding_description,Feeding Category,Browns (g),Greens (g)
Centre 03 West Tank 0,2024-07-21,625.0,1395.0,52.9,252.0,630.0,627.0,29.4,5.2,Optimal,High,Low,High,Optimal,Optimal,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-22,728.0,1322.0,50.8,237.0,594.0,591.0,29.6,5.6,Optimal,High,Low,High,High,High,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-23,1179.0,2544.0,74.5,492.0,1184.0,1185.0,29.4,4.5,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-24,733.0,2620.0,75.9,508.0,1220.0,1222.0,29.6,4.6,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-25,615.0,2468.0,67.9,476.0,1147.0,1148.0,29.2,5.1,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-26,669.0,2373.0,72.4,456.0,1101.0,1102.0,29.2,4.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-27,487.0,1975.0,57.3,373.0,909.0,909.0,29.4,5.1,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-28,758.0,1935.0,56.8,365.0,890.0,889.0,29.7,4.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-29,497.0,2620.0,71.3,508.0,1220.0,1222.0,29.2,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-30,638.0,2051.0,65.8,389.0,946.0,945.0,29.3,4.0,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-07-31,1088.0,1956.0,65.1,369.0,900.0,899.0,28.1,5.0,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-01,1210.0,1990.0,69.4,376.0,917.0,916.0,29.2,4.6,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-02,907.0,1965.0,68.1,371.0,904.0,904.0,29.1,5.2,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-03,577.0,4684.0,100.0,939.0,1999.0,1999.0,28.9,7.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.1 : 2.1,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-04,933.0,4493.0,100.0,899.0,1999.0,1999.0,27.5,7.1,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-05,846.0,4349.0,100.0,869.0,1999.0,1999.0,28.3,7.0,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.3 : 2.3,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-06,936.0,4540.0,100.0,909.0,1999.0,1999.0,29.0,7.1,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-07,769.0,4349.0,100.0,869.0,1999.0,1999.0,28.9,7.2,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.3 : 2.3,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-08,928.0,4014.0,98.9,799.0,1893.0,1900.0,29.1,6.9,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-09,996.0,3928.0,100.0,781.0,1851.0,1858.0,28.0,5.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-10,638.0,4301.0,98.9,859.0,1999.0,1999.0,28.1,6.6,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.3 : 2.3,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-11,659.0,4540.0,100.0,909.0,1999.0,1999.0,28.2,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-12,577.0,4493.0,99.3,899.0,1999.0,1999.0,28.4,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-13,671.0,4205.0,99.3,839.0,1985.0,1993.0,28.6,6.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-14,733.0,3850.0,94.8,765.0,1814.0,1820.0,27.5,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-15,531.0,3986.0,94.6,793.0,1879.0,1886.0,28.5,6.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-16,668.0,4445.0,100.0,889.0,1999.0,1999.0,28.5,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-17,729.0,4540.0,98.0,909.0,1999.0,1999.0,28.5,7.0,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-18,638.0,4588.0,94.8,919.0,1999.0,1999.0,28.8,7.1,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-19,788.0,4540.0,100.0,909.0,1999.0,1999.0,28.9,7.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-20,682.0,4253.0,100.0,849.0,1999.0,1999.0,27.1,7.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-21,810.0,4445.0,94.8,889.0,1999.0,1999.0,28.4,7.2,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.2 : 2.2,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-22,2328.0,4684.0,93.6,939.0,1999.0,1999.0,29.4,7.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.1 : 2.1,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-23,1916.0,4301.0,92.4,859.0,1999.0,1999.0,27.9,7.2,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.3 : 2.3,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-24,2110.0,4109.0,95.2,819.0,1939.0,1946.0,28.2,7.2,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-25,3419.0,3773.0,90.8,748.0,1776.0,1783.0,28.8,6.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,5:1,Unbalanced,,,0,0
