devicename,date,CO2,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,date_of_feed,browns_amount,browns_description,greens_amount,greens_description,water,compost_harvested,NPK Ratio,NPK Status,C_N_Ratio,C_N_Status
NP002,2025-05-14,640,26.436636,100,312,,,,26.1,2025-05-14,0.2,Dried leaves,0.09,Banana Chye sim,0,0,31200.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-05-15,1843,26.239033,100,269,,,,26,,,,,,,,26900.0 : 1.0 : 1.0,Unbalanced,7:1,Unbalanced
NP002,2025-05-16,1817,27.582209,100,283,,,,27.2,,,,,,,,28300.0 : 1.0 : 1.0,Unbalanced,6:1,Unbalanced
NP002,2025-05-17,1158,27.293812,95.13695,242,,,,27.3,,,,,,,,24200.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-18,1049,26.030746,100,371,,,,26.5,,,,,,,,37100.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-19,570,26.676966,96.807816,352,,,,26.2,,,,,,,,35200.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-05-20,1461,26.855879,100,322,,,,26.9,,,,,,,,32200.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-21,1105,28.25246,90.29374,323,,,,27.5,,,,,,,,32300.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-22,1219,27.478065,100,1039,,,,26.8,,,,,,,,103900.0 : 1.0 : 1.0,Unbalanced,1:1,Unbalanced
NP002,2025-05-23,1201,27.59823,100,442,,,,29.9,,,,,,,,44200.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-24,6545,29.956131,100,391,,,,30.1,,,,,,,,39100.0 : 1.0 : 1.0,Unbalanced,17:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-05-25,1042,27.555504,100,369,,,,28.4,2025-05-25,0.18,"Dried leaves, Cardboard",0.09,"Coffee grounds, Banana",1700,0.2,36900.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-26,4165,31.878767,95.097275,1093,,,,0,,,,,,,,109300.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP002,2025-05-27,4839,28.054855,93.26009,1345,,,,0,,,,,,,,134500.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP002,2025-05-28,4401,30.869383,93.48592,921,,,,0,,,,,,,,92100.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-28,4401,30.869383,93.48592,921,,,,0,,,,,,,,92100.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-06-02,14287,31.120394,99.684135,987,,,,29.8,,,,,,,,98700.0 : 1.0 : 1.0,Unbalanced,14:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-03,12459,30.175097,99.31945,1029,,,,26.6,,,,,,,,102900.0 : 1.0 : 1.0,Unbalanced,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-04,2903,29.069582,100,1560,,,,26.5,,,,,,,,156000.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-06-09,3866,1616,54.7,300,739,734,28.6,5.8,,,,,,,,1.0 : 2.5 : 2.4,Unbalanced,13:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-10,3258,1707,48.2,372,526,903,28.6,3,,,,,,,,1.0 : 1.4 : 2.4,Unbalanced,9:1,Unbalanced
NP002,2025-06-11,2834,1958,89.2,200,901,896,28.8,8.1,,,,,,,,1.0 : 4.5 : 4.5,Unbalanced,14:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-12,769,1162,88.1,368,776,0,28.6,4.9,2025-06-12,0.22,"Dried leaves, Cardboard",0.11,"Chye sim, Coffee grounds",1000,0,36800.0 : 77600.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-06-13,3583,1701,0,377,0,778,28.7,5.9,,,,,,,,37700.0 : 1.0 : 77800.0,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-14,2074,1757,91.6,207,888,0,30.1,71,,,,,,,,20700.0 : 88800.0 : 1.0,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-15,5348,1680,100,310,1441,1511,29.3,6.7,,,,,,,,1.0 : 4.6 : 4.9,Unbalanced,17:1,"Lady-Finger Optimal, Long Bean Optimal"
